id_sensor,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
40655,5.12578947368421,5.365,5.764782608695652,6.091666666666668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70169,6.816428571428572,7.161176470588236,7.257777777777779,7.444545454545454,7.892307692307693,8.0875,8.053333333333333,7.8838888888888885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60342,8.970588235294116,8.681818181818183,9.056956521739128,9.19909090909091,8.583333333333334,9.080000000000002,9.059999999999999,9.338000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22851,5.90888888888889,7.653333333333333,7.8092,7.884615384615385,8.704285714285714,7.885000000000001,8.5,7.2935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45694,4.984705882352942,4.85304347826087,5.271249999999999,5.51,5.309333333333334,5.3075,5.538333333333333,4.570000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50128,6.63375,5.3481250000000005,5.741111111111111,6.330000000000001,6.488333333333332,5.699999999999999,5.414444444444445,5.029444444444445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24644,7.36,7.851363636363637,8.456296296296294,8.808461538461538,7.952142857142857,7.63,8.18,8.358095238095238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59970,5.72,6.080454545454546,6.879130434782607,7.139,7.5153333333333325,7.8925,7.777500000000001,8.27578947368421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40256,4.3,4.6305,4.740869565217392,5.0636363636363635,5.555384615384615,5.098,4.661666666666667,4.1257142857142854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10869234,50.77777777777778,56.166666666666664,51.666666666666664,38.916666666666664,57.833333333333336,54.75,60.083333333333336,63.583333333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32399,5.475,5.964545454545456,6.08875,6.13,6.625000000000001,6.996,6.951666666666668,6.8309523809523816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57418,6.7041176470588235,7.1722222222222225,8.04916666666667,8.017692307692307,9.182142857142859,9.182500000000001,8.111666666666666,8.6185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39224,4.411764705882353,4.096363636363635,4.2484,4.131428571428573,4.109333333333334,3.9375000000000004,3.8,3.7415000000000007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44216,6.814705882352943,7.38409090909091,7.44608695652174,7.613636363636363,8.428666666666668,8.195,8.062499999999998,7.4945454545454515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10608112,52.666666666666664,54.666666666666664,44.333333333333336,53,51.416666666666664,41.25,63.333333333333336,44.916666666666664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40645,4.9817647058823535,5.085652173913044,5.394166666666666,5.480833333333333,5.525714285714286,5.3225,5.77,4.589499999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32393,6.754705882352941,6.682962962962962,7.435652173913044,8.071000000000002,8.054666666666666,7.9675,7.634999999999999,8.316999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10839718,35,46.916666666666664,60.5,64.16666666666667,42,54.166666666666664,72.66666666666667,42.916666666666664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40669,7.264375,7.615555555555556,8.226249999999999,8.22272727272727,8.175333333333334,7.1975,8.575000000000001,7.026000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55575,7.078461538461539,7.651578947368419,8.219523809523809,9.163333333333332,8.407,8.793333333333335,8.474444444444444,8.68470588235294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43962,6.3725000000000005,6.680000000000001,6.656666666666666,6.524285714285715,6.804285714285713,6.265,8.421666666666667,5.463333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
