id_sensor,type,time,latitude,longitude,value
40256,pm25,2023-07-09T22:20:30.000Z,45.462,9.21,4.03
32399,pm25,2023-07-09T22:20:24.000Z,45.44,9.178,5.07
10869234,loudeness,2023-07-09T22:28:57.055Z,45.477977,9.227728,15
50128,pm25,2023-07-09T22:20:17.000Z,45.478,9.224,5.9
44216,pm25,2023-07-09T22:20:17.000Z,45.46168340766,9.18210272212,6.35
39224,pm25,2023-07-09T22:20:14.000Z,45.45397764666,9.20950412750,4.53
40645,pm25,2023-07-09T22:20:12.000Z,45.52589590000,9.22878860000,4.8
10608112,loudeness,2023-07-09T22:29:30.056Z,45.464081,9.192720,78
57418,pm25,2023-07-09T22:20:09.000Z,45.43433691627,9.10697758184,6.28
32393,pm25,2023-07-09T22:20:08.000Z,45.426,9.206,6.5
10839718,loudeness,2023-07-09T22:29:51.038Z,45.485711,9.148767,35
40669,pm25,2023-07-09T22:19:54.000Z,45.528,9.234,7.25
40655,pm25,2023-07-09T22:19:08.000Z,45.53940450000,9.23662630000,5.1
57418,pm25,2023-07-09T22:29:53.000Z,45.43433691627,9.10697758184,6.82
32393,pm25,2023-07-09T22:29:53.000Z,45.426,9.206,6.18
40669,pm25,2023-07-09T22:29:39.000Z,45.528,9.234,6.82
50128,pm25,2023-07-09T22:29:23.000Z,45.478,9.224,5.13
40655,pm25,2023-07-09T22:28:56.000Z,45.53940450000,9.23662630000,5.2
22851,pm25,2023-07-09T22:28:40.000Z,45.46,9.24,5.95
60342,pm25,2023-07-09T22:28:29.000Z,45.53606202812,9.22630280256,10.2
59970,pm25,2023-07-09T22:28:14.000Z,45.434,9.116,5.8
45694,pm25,2023-07-09T22:28:13.000Z,45.468,9.124,4.78
24644,pm25,2023-07-09T22:28:12.000Z,45.502,9.146,7.32
40256,pm25,2023-07-09T22:27:52.000Z,45.462,9.21,3.95
32399,pm25,2023-07-09T22:27:49.000Z,45.44,9.178,5.57
44216,pm25,2023-07-09T22:27:46.000Z,45.46168340766,9.18210272212,7.85
39224,pm25,2023-07-09T22:27:43.000Z,45.45397764666,9.20950412750,4.07
40645,pm25,2023-07-09T22:27:38.000Z,45.52589590000,9.22878860000,4.93
57418,pm25,2023-07-09T22:27:27.000Z,45.43433691627,9.10697758184,6.45
32393,pm25,2023-07-09T22:27:27.000Z,45.426,9.206,7.3
55575,pm25,2023-07-09T22:27:19.000Z,45.478,9.116,6.73
40669,pm25,2023-07-09T22:27:12.000Z,45.528,9.234,6.63
70169,pm25,2023-07-09T22:26:58.000Z,45.442,9.212,6.88
43962,pm25,2023-07-09T22:26:52.000Z,45.534,9.242,5.78
40655,pm25,2023-07-09T22:26:30.000Z,45.53940450000,9.23662630000,4.95
50128,pm25,2023-07-09T22:26:21.000Z,45.478,9.224,4.72
10869234,loudeness,2023-07-09T22:33:57.061Z,45.477977,9.227728,52
22851,pm25,2023-07-09T22:26:13.000Z,45.46,9.24,5.7
60342,pm25,2023-07-09T22:26:03.000Z,45.53606202812,9.22630280256,10.05
59970,pm25,2023-07-09T22:25:48.000Z,45.434,9.116,5.68
45694,pm25,2023-07-09T22:25:47.000Z,45.468,9.124,5
24644,pm25,2023-07-09T22:25:45.000Z,45.502,9.146,7.32
10608112,loudeness,2023-07-09T22:34:30.060Z,45.464081,9.192720,23
40256,pm25,2023-07-09T22:25:25.000Z,45.462,9.21,4.15
32399,pm25,2023-07-09T22:25:22.000Z,45.44,9.178,5.45
10839718,loudeness,2023-07-09T22:34:51.049Z,45.485711,9.148767,19
44216,pm25,2023-07-09T22:25:18.000Z,45.46168340766,9.18210272212,7.45
39224,pm25,2023-07-09T22:25:14.000Z,45.45397764666,9.20950412750,5.1
40645,pm25,2023-07-09T22:25:05.000Z,45.52589590000,9.22878860000,4.85
57418,pm25,2023-07-09T22:25:01.000Z,45.43433691627,9.10697758184,6.78
32393,pm25,2023-07-09T22:25:01.000Z,45.426,9.206,6.8
40655,pm25,2023-07-09T22:33:51.000Z,45.53940450000,9.23662630000,5.2
22851,pm25,2023-07-09T22:33:37.000Z,45.46,9.24,5.75
55575,pm25,2023-07-09T22:33:24.000Z,45.478,9.116,6.8
60342,pm25,2023-07-09T22:33:20.000Z,45.53606202812,9.22630280256,10.1
59970,pm25,2023-07-09T22:33:07.000Z,45.434,9.116,5.28
70169,pm25,2023-07-09T22:33:06.000Z,45.442,9.212,6.2
45694,pm25,2023-07-09T22:33:05.000Z,45.468,9.124,5.25
24644,pm25,2023-07-09T22:33:05.000Z,45.502,9.146,7.32
40256,pm25,2023-07-09T22:32:53.000Z,45.462,9.21,5.5
32399,pm25,2023-07-09T22:32:43.000Z,45.44,9.178,5.35
44216,pm25,2023-07-09T22:32:39.000Z,45.46168340766,9.18210272212,6.2
39224,pm25,2023-07-09T22:32:35.000Z,45.45397764666,9.20950412750,4.63
40645,pm25,2023-07-09T22:32:30.000Z,45.52589590000,9.22878860000,4.65
50128,pm25,2023-07-09T22:32:26.000Z,45.478,9.224,5
57418,pm25,2023-07-09T22:32:21.000Z,45.43433691627,9.10697758184,6.65
32393,pm25,2023-07-09T22:32:19.000Z,45.426,9.206,6.7
40669,pm25,2023-07-09T22:32:05.000Z,45.528,9.234,6.65
43962,pm25,2023-07-09T22:31:53.000Z,45.534,9.242,6.1
40655,pm25,2023-07-09T22:31:25.000Z,45.53940450000,9.23662630000,5.05
22851,pm25,2023-07-09T22:31:08.000Z,45.46,9.24,5.85
60342,pm25,2023-07-09T22:30:54.000Z,45.53606202812,9.22630280256,9.85
59970,pm25,2023-07-09T22:30:41.000Z,45.434,9.116,5.55
45694,pm25,2023-07-09T22:30:39.000Z,45.468,9.124,5.68
24644,pm25,2023-07-09T22:30:39.000Z,45.502,9.146,7.45
10869234,loudeness,2023-07-09T22:38:57.074Z,45.477977,9.227728,87
55575,pm25,2023-07-09T22:30:22.000Z,45.478,9.116,7.1
40256,pm25,2023-07-09T22:30:21.000Z,45.462,9.21,4.4
32399,pm25,2023-07-09T22:30:16.000Z,45.44,9.178,5.2
44216,pm25,2023-07-09T22:30:12.000Z,45.46168340766,9.18210272212,6.53
10608112,loudeness,2023-07-09T22:39:30.075Z,45.464081,9.192720,6
39224,pm25,2023-07-09T22:30:09.000Z,45.45397764666,9.20950412750,4.6
40645,pm25,2023-07-09T22:30:04.000Z,45.52589590000,9.22878860000,5.28
70169,pm25,2023-07-09T22:30:02.000Z,45.442,9.212,7.07
10839718,loudeness,2023-07-09T22:39:51.054Z,45.485711,9.148767,60
57418,pm25,2023-07-09T22:29:53.000Z,45.43433691627,9.10697758184,6.82
32393,pm25,2023-07-09T22:29:53.000Z,45.426,9.206,6.18
40669,pm25,2023-07-09T22:29:39.000Z,45.528,9.234,6.82
50128,pm25,2023-07-09T22:29:23.000Z,45.478,9.224,5.13
